feature,train_spearman,validation_spearman,test_spearman
atr_pct_14,-0.051072147941731295,-0.24097672239848328,0.013632243323573401
parkinson_vol_20,-0.04661398979616763,-0.22613551154522776,0.021230784892053597
realized_vol_20,-0.04143605305156434,-0.2155122704798127,0.017033162209169506
upside_semivol_20,-0.04046648259151142,-0.1995282794170041,0.016159890768233796
downside_semivol_20,-0.03349294871893144,-0.19222013801027463,0.0223881005260251
up_close_ratio_5,-0.017385512593669977,-0.00458669317801981,0.01945101843631862
return_skew_30,-0.012510679190048552,-0.024614144881895315,-0.041011888356917936
ret_autocorr_1_30,0.010768020014825743,-0.022322387091157726,0.02039043246886965
log_range_over_vol_100,0.009323589365919184,-0.02205004830016373,0.017235353704781263
efficiency_ratio_20,0.006753249455198386,0.012055176802029699,0.01667844707287494
tr_to_atr_14,-0.005880657320748998,-0.02107706911272137,-0.007845466601569515
vol_over_ema20,0.0053151899986846,0.02045844786451736,0.036553521152083976
dollar_vol_rel_20,0.005262773798247628,0.020397269993533786,0.03653615584115194
close_location_value,-0.005074183832010022,-0.004558422111266651,-0.014261409836488268
dmi_balance_14,-0.004973103310325391,-0.011593604937579053,-0.005292478729527218
range_compression_20_100,-0.0038478103745656508,-0.01337854910099481,-0.012804734769964451
vol_ratio_20_100,-0.003656271570346647,-0.0033435510699676278,0.006364564850231779
roc_10,-0.003625627312376233,0.0026510703534247254,0.005708161505710615
rsi_centered_14,0.0026301656022189755,0.012201901062177296,0.016516941066470895
ema_slope_atr_20_5,0.0017411837367898983,0.012206234642663268,0.015541940609497689
ema_gap_atr_20,0.0016210130262513326,0.01259845990090411,0.014761581281868967
channel_pos_20,0.001364494146626404,0.019046142606244317,0.01772246872066626
vol_over_median20,0.0013529409239322959,0.0036630893663601714,0.001493806145782055
macd_hist_atr,0.0005182664077258995,0.007926876928167062,0.007091988625406071
mom_stoch_rsi_14_14_3,0.00038940686861013767,0.01323701716248431,0.010433975394405229
percent_b_20,-0.00035446548402146217,0.011524851410177938,0.014525121905690037
band_bb_percB_20_2,-0.0003544654541057886,0.011524851421017706,0.014525121919473947
